element,elementLabel,image
http://www.wikidata.org/entity/Q552439,Нижняя носовая раковина,http://commons.wikimedia.org/wiki/Special:FilePath/Inferior%20nasal%20concha%20-%20animation%2002.gif
http://www.wikidata.org/entity/Q816052,Слуховые косточки,http://commons.wikimedia.org/wiki/Special:FilePath/Slide1ghe.JPG
http://www.wikidata.org/entity/Q8481,грудина,http://commons.wikimedia.org/wiki/Special:FilePath/Sternum%20-%20close-up%20-%20animation.gif
http://www.wikidata.org/entity/Q8481,грудина,http://commons.wikimedia.org/wiki/Special:FilePath/Sternum%20animation2.gif
http://www.wikidata.org/entity/Q16295,лобная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Frontal%20bone%20-%20animation%2002.gif
http://www.wikidata.org/entity/Q16321,клиновидная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Sphenoid%20bone%20-%20animation%2002.gif
http://www.wikidata.org/entity/Q16298,Теменная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Cranium%204.jpg
http://www.wikidata.org/entity/Q162595,плечевая кость,http://commons.wikimedia.org/wiki/Special:FilePath/Humerus%20animation.gif
http://www.wikidata.org/entity/Q655357,атлант,http://commons.wikimedia.org/wiki/Special:FilePath/Atlas%20%28C1%29%20from%20top%20animation.gif
http://www.wikidata.org/entity/Q199507,локтевая кость,http://commons.wikimedia.org/wiki/Special:FilePath/Ulna%20-%20anterior%20view.png
http://www.wikidata.org/entity/Q16313,Височная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Temporal%20bone%20-%20animation%2001.gif
http://www.wikidata.org/entity/Q16343,ключица,http://commons.wikimedia.org/wiki/Special:FilePath/Clavicle.gif
http://www.wikidata.org/entity/Q302896,Малоберцовая кость,http://commons.wikimedia.org/wiki/Special:FilePath/Fibula%20-%20anterior%20view.png
http://www.wikidata.org/entity/Q1057892,Фаланга,http://commons.wikimedia.org/wiki/Special:FilePath/Coffin%20bone%2C%20side%20view.jpg
http://www.wikidata.org/entity/Q1057892,Фаланга,http://commons.wikimedia.org/wiki/Special:FilePath/Foot%20bones%20-%20metatarsus%20and%20phalanges.jpg
http://www.wikidata.org/entity/Q1057892,Фаланга,http://commons.wikimedia.org/wiki/Special:FilePath/Hand%20of%20Australopithecus%20sediba.jpg
http://www.wikidata.org/entity/Q1057892,Фаланга,http://commons.wikimedia.org/wiki/Special:FilePath/Hyaena%20phalanges%20%2839838867242%29.jpg
http://www.wikidata.org/entity/Q1512017,трубчатые кости,http://commons.wikimedia.org/wiki/Special:FilePath/Long%20bones%20-%20animation.gif
http://www.wikidata.org/entity/Q17114686,Olduvai Hominid 8,http://commons.wikimedia.org/wiki/Special:FilePath/OH%208%20Replica%2002.JPG
http://www.wikidata.org/entity/Q51078161,sixth rib,http://commons.wikimedia.org/wiki/Special:FilePath/Sixth%20rib%20animation.gif
http://www.wikidata.org/entity/Q958194,Ладьевидная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Foot%20bones%20-%20tarsus%2C%20metatarsus%20and%20phalanges.jpg
http://www.wikidata.org/entity/Q958194,Ладьевидная кость,http://commons.wikimedia.org/wiki/Special:FilePath/Gray276.png
