breedLabel,breedImage
Нибелунг,http://commons.wikimedia.org/wiki/Special:FilePath/Nebelung%20Male%2C%20Aleksandr%20van%20Song%20de%20Chine.JPG
Русская голубая кошка,http://commons.wikimedia.org/wiki/Special:FilePath/RussianBlueCat.jpg
Мейн-кун,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A4%D0%BE%D1%82%D0%BE%20%D0%BA%D1%83%D0%BD%D0%BE%D0%B2.jpg
Мейн-кун,http://commons.wikimedia.org/wiki/Special:FilePath/Karin%20Maine%20Coon.jpg
Мейн-кун,http://commons.wikimedia.org/wiki/Special:FilePath/Maine%20Coon%20kittens%20NO%20Sigdalskauen.jpg
Мейн-кун,http://commons.wikimedia.org/wiki/Special:FilePath/Maine%20Coon%20male%20NO%20Sigdalskauen%20Balder.jpg
Мейн-кун,http://commons.wikimedia.org/wiki/Special:FilePath/Mainecoonbandit.jpg
Javanese,http://commons.wikimedia.org/wiki/Special:FilePath/Javanese%20cat.jpg
Петерболд,http://commons.wikimedia.org/wiki/Special:FilePath/Jielbeaumadier%20sansha%20rex%20de%20cornouailles%20et%20yanek%20peterbald%20frankfurt%202011.jpeg
Петерболд,http://commons.wikimedia.org/wiki/Special:FilePath/Kita%20the%20stud.jpg
Норвежская лесная кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Noorse-boskat%20wikipedia%201.JPG
Саванна,http://commons.wikimedia.org/wiki/Special:FilePath/Savannah%20Cat%20portrait.jpg
Японский бобтейл,http://commons.wikimedia.org/wiki/Special:FilePath/JapaneseBobtailBlueEyedMi-ke.JPG
Мэнкс,http://commons.wikimedia.org/wiki/Special:FilePath/Japanese%20Bobtail%20looking%20like%20Manx.jpg
Сингапурская кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Raffles%20singapura%20cat.jpg
Оцикет,http://commons.wikimedia.org/wiki/Special:FilePath/Ocicat-sitting.jpg
Рэгдолл,http://commons.wikimedia.org/wiki/Special:FilePath/High%20mitted.jpg
Рэгдолл,http://commons.wikimedia.org/wiki/Special:FilePath/Ragdoll.jpg
Рэгдолл,http://commons.wikimedia.org/wiki/Special:FilePath/Ragdoll%20cat.jpg
Корат,http://commons.wikimedia.org/wiki/Special:FilePath/KOR%201149.jpg
Пикси-боб,http://commons.wikimedia.org/wiki/Special:FilePath/Pantanal%20Pixie-Bob%202.jpg
Ориентальная кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Orientalshorthairs2.jpg
сфинкс,http://commons.wikimedia.org/wiki/Special:FilePath/Cat%20Sphynx.%20img%20025.jpg
Сомали,http://commons.wikimedia.org/wiki/Special:FilePath/SOMns.jpg
Турецкая ангора,http://commons.wikimedia.org/wiki/Special:FilePath/Turkse%20angora.jpg
Турецкий ван,http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Cat%201%202015.JPG
Тонкинская кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Tonkinese.gif
Тайская кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Thai%20cats.jpg
Гималайская кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Cruel.JPG
Гималайская кошка,http://commons.wikimedia.org/wiki/Special:FilePath/Himalayan%20cat%20percy.jpg
Манчкин,http://commons.wikimedia.org/wiki/Special:FilePath/Munchkin%20cat%202.jpg
Сококе,http://commons.wikimedia.org/wiki/Special:FilePath/Sokoke%20dalili.jpg
Oriental Longhair,http://commons.wikimedia.org/wiki/Special:FilePath/OLH-GIP%20Divan%20Cesar.jpg
Минскин,http://commons.wikimedia.org/wiki/Special:FilePath/Minskin%20Kitten%20Female%20blue%20tabby%20color-pattern.jpg
Seychellois,http://commons.wikimedia.org/wiki/Special:FilePath/Seychellois%20at%20J%C3%A4ms%C3%A4%20Cat%20show.JPG
Colorpoint Shorthair,http://commons.wikimedia.org/wiki/Special:FilePath/Colorpoint%20Shorthair.jpg
squitten,http://commons.wikimedia.org/wiki/Special:FilePath/Squitten2.jpg
Modern Siamese,http://commons.wikimedia.org/wiki/Special:FilePath/Bluebell%202ans.jpg
