element,elementLabel,symbol,atomicNumber,discoveryYear,discoveredByLabel,image
http://www.wikidata.org/entity/Q428758,унбитрий,Ubt,123,,,
http://www.wikidata.org/entity/Q428741,унбиквадий,Ubq,124,,,
http://www.wikidata.org/entity/Q428685,унбипентий,Ubp,125,,,
http://www.wikidata.org/entity/Q54377,унбигексий,Ubh,126,,,
http://www.wikidata.org/entity/Q428692,унбисептий,Ubs,127,,,
http://www.wikidata.org/entity/Q428703,унбиоктий,Ubo,128,,,
http://www.wikidata.org/entity/Q428640,унбиенний,Ube,129,,,
http://www.wikidata.org/entity/Q428648,унтринилий,Utn,130,,,
http://www.wikidata.org/entity/Q428629,унтриуний,Utu,131,,,
http://www.wikidata.org/entity/Q428635,унтрибий,Utb,132,,,
http://www.wikidata.org/entity/Q3552041,унтритрий,Utt,133,,,
http://www.wikidata.org/entity/Q3552040,унтриквадий,Utq,134,,,
http://www.wikidata.org/entity/Q3552038,унтрипентий,Utp,135,,,
http://www.wikidata.org/entity/Q868375,унтригексий,Uth,136,,,
http://www.wikidata.org/entity/Q1366419,унтрисептий,Uts,137,,,
http://www.wikidata.org/entity/Q869681,унтриоктий,Uto,138,,,
http://www.wikidata.org/entity/Q548592,унтриэнний,Ute,139,,,
http://www.wikidata.org/entity/Q3029913,ункваднилий,Uqn,140,,,
http://www.wikidata.org/entity/Q3551935,унквадуний,Uqu,141,,,
http://www.wikidata.org/entity/Q3551927,унквадбий,Uqb,142,,,
http://www.wikidata.org/entity/Q3551933,унквадтрий,Uqt,143,,,
http://www.wikidata.org/entity/Q3551931,унквадквадий,Uqq,144,,,
http://www.wikidata.org/entity/Q3551930,унквадпентий,Uqp,145,,,
http://www.wikidata.org/entity/Q3551926,унквадгексий,Uqh,146,,,
http://www.wikidata.org/entity/Q3551929,унквадсептий,Uqs,147,,,
http://www.wikidata.org/entity/Q3551928,унквадоктий,Uqo,148,,,
http://www.wikidata.org/entity/Q2399140,унквадэнний,Uqe,149,,,
http://www.wikidata.org/entity/Q3551919,унпентнилий,Upn,150,,,
http://www.wikidata.org/entity/Q3551921,унпентуний,Upu,151,,,
http://www.wikidata.org/entity/Q3551918,унпентбий,Upb,152,,,
http://www.wikidata.org/entity/Q3551924,унпенттрий,Upt,153,,,
http://www.wikidata.org/entity/Q22313918,унпентквадий,Upq,154,,,
http://www.wikidata.org/entity/Q22314315,унпентпентий,Upp,155,,,
http://www.wikidata.org/entity/Q91655950,унпентгексий,Uph,156,,,
http://www.wikidata.org/entity/Q91655961,унпентсептий,Ups,157,,,
http://www.wikidata.org/entity/Q91655977,унпентоктий,Upo,158,,,
http://www.wikidata.org/entity/Q92113383,унпентенний,Upe,159,,,
http://www.wikidata.org/entity/Q91655999,унгекснилий,Uhn,160,,,
http://www.wikidata.org/entity/Q113084035,unhexunium,Uhu,161,,,
http://www.wikidata.org/entity/Q113084037,unhexbium,Uhb,162,,,
http://www.wikidata.org/entity/Q113084040,unhextrium,Uht,163,,,
http://www.wikidata.org/entity/Q30929350,элемент 164,Uhq,164,,,
http://www.wikidata.org/entity/Q16307178,элемент 165,Uhp,165,,,
http://www.wikidata.org/entity/Q113084043,unhexhexium,Uhh,166,,,
http://www.wikidata.org/entity/Q16307173,элемент 167,Uhs,167,,,
http://www.wikidata.org/entity/Q16307168,элемент 168,Uho,168,,,
http://www.wikidata.org/entity/Q19599218,элемент 169,Uhe,169,,,
http://www.wikidata.org/entity/Q113084046,unseptnilium,Usn,170,,,
http://www.wikidata.org/entity/Q113084048,unseptunium,Usu,171,,,
http://www.wikidata.org/entity/Q16307164,элемент 172,Usb,172,,,
http://www.wikidata.org/entity/Q11289368,унсепттрий,Ust,173,,,
